ID,Name,Symbol,Status,Member(계급;무장;최대인원;현재인원),Equipment(종류;장비명;최대수량;현재수량),Supply(종류;품명;최대수량;현재수량)
4,B-1-1-Unit1,SFG-UCI----D---,NoDamage,[{소/중위;소총;1;1};{하/중사;소총;4;4};{병;소총;19;19};{병;유탄발사기;6;6};{병;기관총;3;3}],[{개인/공용화기;소총;24;24};{개인/공용화기;K201/M203;6;6};{개인/공용화기;K-3;3;3}],[{직사화기탄;소총탄;3600;3600};{직사화기탄;기관총탄;3000;3000};{직사화기탄;유탄발사기탄;90;90}]
5,B-1-1-Unit2,SFG-UCI----D---,NoDamage,[{소/중위;소총;1;1};{하/중사;소총;4;4};{병;소총;19;19};{병;유탄발사기;6;6};{병;기관총;3;3}],[{개인/공용화기;소총;24;24};{개인/공용화기;K201/M203;6;6};{개인/공용화기;K-3;3;3}],[{직사화기탄;소총탄;3600;3600};{직사화기탄;기관총탄;3000;3000};{직사화기탄;유탄발사기탄;90;90}]
6,B-1-1-Unit3,SFG-UCI----D---,NoDamage,[{소/중위;소총;1;1};{하/중사;소총;4;4};{병;소총;19;19};{병;유탄발사기;6;6};{병;기관총;3;3}],[{개인/공용화기;소총;24;24};{개인/공용화기;K201/M203;6;6};{개인/공용화기;K-3;3;3}],[{직사화기탄;소총탄;3600;3600};{직사화기탄;기관총탄;3000;3000};{직사화기탄;유탄발사기탄;90;90}]
7,R-1-1-Unit1,SHG-UCI----D---,NoDamage,[{소/중위;소총;1;1};{하/중사;소총;4;4};{병;소총;25;25};{병;기관총;3;3};{병;대전차;3;3}],[{개인/공용화기;소총;30;30};{개인/공용화기;72형기관총;3;3};{대전차화기;RPG-7;3;3}],[{직사화기탄;소총탄;5250;5250};{직사화기탄;기관총탄;3000;3000};{직사화기탄;대전차탄;18;18}]
8,R-1-1-Unit2,SHG-UCI----D---,NoDamage,[{소/중위;소총;1;1};{하/중사;소총;4;4};{병;소총;25;25};{병;기관총;3;3};{병;대전차;3;3}],[{개인/공용화기;소총;30;30};{개인/공용화기;72형기관총;3;3};{대전차화기;RPG-7;3;3}],[{직사화기탄;소총탄;5250;5250};{직사화기탄;기관총탄;3000;3000};{직사화기탄;대전차탄;18;18}]
9,R-1-1-Unit3,SHG-UCI----D---,NoDamage,[{소/중위;소총;1;1};{하/중사;소총;4;4};{병;소총;25;25};{병;기관총;3;3};{병;대전차;3;3}],[{개인/공용화기;소총;30;30};{개인/공용화기;72형기관총;3;3};{대전차화기;RPG-7;3;3}],[{직사화기탄;소총탄;5250;5250};{직사화기탄;기관총탄;3000;3000};{직사화기탄;대전차탄;18;18}]
10,B-1-1-MachineGunUnit,SFG-UCI----B---,NoDamage,[{하/중사;소총;1;1};{병;소총;6;6};{병;기관총;2;2}],[{개인/공용화기;K-3;2;2};{개인/공용화기;소총;7;7}],[{직사화기탄;기관총탄;1000;1000};{직사화기탄;소총탄;1050;1050}]
11,R-1-1-MachineGunUnit,SHG-UCI----B---,NoDamage,[{하/중사;소총;1;1};{병;소총;8;8};{병;기관총;2;2}],[{개인/공용화기;소총;9;9};{개인/공용화기;30M 기관총;2;2}],[{직사화기탄;소총탄;1350;1350};{직사화기탄;기관총탄;2000;2000}]
